,PSOE,,PP,,VOX,,PODEMOS-IU,,ERC-SOBIRANISTES,,Cs,,JxCAT-JUNTS,,ECP-GUANYEM EL CANVI,,EAJ-PNV,,EH Bildu,,MÁS PAÍS-EQUO,,CUP-PR,,PODEMOS-EU,,CCa-PNC-NC,,NA+,,MÉS COMPROMÍS,,BNG,,PRC,,¡TERUEL EXISTE!,,PACMA,,MÁS PAÍS,,RECORTES CERO-GV,,PUM+J,,M PAÍS-CHA-EQUO,,MÉS-ESQUERRA,,AxSÍ,,PCPE,,PCTE,,GBAI,,UPL,,PCOE,,CpM,,EB,,ERPV,,XAV,,AVANT ADELANTE LOS VERDES,,VERDES,,PH,,I.Fem,,UIG-SOM-CUIDES,,SOMOS REGIÓN,,IZQP,,AHORA CANARIAS,,CONTIGO,,CHA,,PPSO,,EXTREMADURA UNIDA,,PDSJE,,P-LIB,,MAS,,UNIDOS SÍ-ACPS-Def,,PREPAL,,ANDECHA,,MDyC,,PYLN,,FE de las JONS,,AUNACV,,UNIÓN REGIONALISTA,,Canda,,FIA,,SOLIDARIA,,RISA,,centrados,,DPL,,IZAR,,C 21,,UDT,
Nombre de Provincia,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados
Almería                       ,"89,295",2,"78,072",2,"80,714",2,"24,400",0,0,0,"22,835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,582",0,0,0,360,0,371,0,0,0,0,0,318,0,303,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cádiz                         ,"188,271",3,"111,089",2,"131,205",2,"93,541",1,0,0,"55,490",1,0,0,0,0,0,0,0,0,"11,316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,437",0,0,0,915,0,707,0,0,0,0,0,"3,509",0,639,0,0,0,0,0,0,0,"1,739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Córdoba                       ,"146,761",2,"99,999",2,"82,534",1,"64,769",1,0,0,"36,229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,946",0,0,0,549,0,478,0,0,0,0,0,"1,019",0,544,0,321,0,0,0,0,0,"1,062",0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granada                       ,"160,190",3,"105,192",2,"99,928",1,"59,331",1,0,0,"37,772",0,0,0,0,0,0,0,0,0,"8,629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,095",0,0,0,545,0,624,0,0,0,0,0,619,0,371,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0
Huelva                        ,"91,656",3,"49,452",1,"52,485",1,"30,389",0,0,0,"18,382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,535",0,0,0,495,0,351,0,0,0,0,0,856,0,159,0,112,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaén                          ,"141,737",3,"82,055",1,"71,950",1,"35,962",0,0,0,"24,816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,766",0,0,0,464,0,419,0,0,0,0,0,856,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0
Málaga                        ,"226,831",4,"163,177",3,"162,280",2,"97,801",1,0,0,"66,995",1,0,0,0,0,0,0,0,0,"14,112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,089",0,0,0,"1,261",0,904,0,0,0,0,0,"1,686",0,581,0,381,0,0,0,0,0,"1,265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sevilla                       ,"380,385",5,"188,166",2,"188,813",2,"153,435",2,0,0,"83,575",1,0,0,0,0,0,0,0,0,"22,388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,035",0,0,0,"1,456",0,"1,402",0,0,0,0,0,"5,183",0,842,0,550,0,0,0,0,0,"1,495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huesca                        ,"38,101",2,"29,804",1,"17,237",0,"14,035",0,0,0,"9,244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,0,0,198,0,153,0,0,0,0,0,0,0,100,0,86,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
